Gene,OMIM_en,OMIM_cn
VPS13B,"Cohen syndrome(OMIM:216550, AR)","科恩综合征(OMIM:216550, AR)"
NDNC5,"Nail disorder, nonsyndromic congenital, 5(OMIM:164800, AD)","指甲异常，非综合征性先天性，5(OMIM:164800, AD)"
NCSTN,"Acne inversa, familial, 1(OMIM:142690, AD)","逆转痤疮，家族性，1(OMIM:142690, AD)"
KIF11,"Microcephaly with or without chorioretinopathy, lymphedema, or mental retardation(OMIM:152950, AD)","小头畸形伴或不伴脉络膜视网膜病变、淋巴水肿或智力低下(OMIM:152950, AD)"
SLC5A2,"Renal glucosuria(OMIM:233100, AD, AR)","肾性糖尿(OMIM:233100, AD, AR)"
NDUFAF5,"Mitochondrial complex I deficiency, nuclear type 16(OMIM:618238, AR)","线粒体复合体 I 缺乏，核型 16(OMIM:618238, AR)"
OCA2,"Albinism, oculocutaneous, type II(OMIM:203200, AR);Albinism, brown oculocutaneous(OMIM:203200, AR);[Skin/hair/eye pigmentation 1, blond/brown hair](OMIM:227220, AR);[Skin/hair/eye pigmentation 1, blue/nonblue eyes](OMIM:227220, AR)","白化病，眼皮肤，II型(OMIM:203200, AR);白化病，棕色眼皮(OMIM:203200, AR);[皮肤/头发/眼睛色素沉着1，金发/棕色头发](OMIM:227220, AR);[皮肤/头发/眼睛色素沉着1，蓝色/非蓝色眼睛](OMIM:227220, AR)"
C7,"C7 deficiency(OMIM:610102, nan)","C7缺乏(OMIM:610102, nan)"
NEK8,"?Nephronophthisis 9(OMIM:613824, nan);Renal-hepatic-pancreatic dysplasia 2(OMIM:615415, AR)","?肾痨 9(OMIM:613824, nan);肾-肝-胰发育不良2(OMIM:615415, AR)"
TAF15,"Chondrosarcoma, extraskeletal myxoid(OMIM:612237, nan)","软骨肉瘤，骨外粘液(OMIM:612237, nan)"
MRPL12,"?Combined oxidative phosphorylation deficiency 45(OMIM:618951, AR)","?联合氧化磷酸化缺乏症 45(OMIM:618951, AR)"
SAG,"Retinitis pigmentosa 47(OMIM:613758, nan);Oguchi disease-1(OMIM:258100, AR)","色素性视网膜炎 47(OMIM:613758, nan);大口病-1(OMIM:258100, AR)"
CIDEC,"?Lipodystrophy, familial partial, type 5(OMIM:615238, AR)","?脂肪营养不良，家族性部分，5 型(OMIM:615238, AR)"
POR,"Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis(OMIM:201750, AR);Disordered steroidogenesis due to cytochrome P450 oxidoreductase(OMIM:613571, nan)","伴有生殖器异常和类固醇生成紊乱的 Antley-Bixler 综合征(OMIM:201750, AR);细胞色素 P450 氧化还原酶导致的类固醇生成紊乱(OMIM:613571, nan)"
CYB5A,"Methemoglobinemia and ambiguous genitalia(OMIM:250790, AR)","高铁血红蛋白血症和不明确的生殖器(OMIM:250790, AR)"
FMO3,"Trimethylaminuria(OMIM:602079, AR)","三甲胺尿(OMIM:602079, AR)"
PLAU,"Quebec platelet disorder(OMIM:601709, AD);{Alzheimer disease, late-onset, susceptibility to}(OMIM:104300, AD)","魁北克血小板疾病(OMIM:601709, AD);{阿尔茨海默病，迟发性，易感性}(OMIM:104300, AD)"
FGF8,"Hypogonadotropic hypogonadism 6 with or without anosmia(OMIM:612702, AD)","低促性腺激素性腺机能减退 6 伴或不伴嗅觉丧失(OMIM:612702, AD)"
TMEM126B,"Mitochondrial complex I deficiency, nuclear type 29(OMIM:618250, AR)","线粒体复合体 I 缺乏症，核型 29(OMIM:618250, AR)"
NOBOX,"Premature ovarian failure 5(OMIM:611548, AD)","卵巢早衰5(OMIM:611548, AD)"
SLC9A3,"Diarrhea 8, secretory sodium, congenital(OMIM:616868, AR)","腹泻 8，分泌钠，先天性(OMIM:616868, AR)"
MYO5B,"Diarrhea 2, with microvillus atrophy, with or without cholestasis(OMIM:251850, AR);Cholestasis, progressive familial intrahepatic, 10(OMIM:619868, AR)","腹泻 2，伴有微绒毛萎缩，伴有或不伴有胆汁淤积(OMIM:251850, AR);胆汁淤积，进行性家族性肝内，10(OMIM:619868, AR)"
PRNP,"Creutzfeldt-Jakob disease(OMIM:123400, AD);Gerstmann-Straussler disease(OMIM:137440, AD);Cerebral amyloid angiopathy, PRNP-related(OMIM:137440, AD);{Kuru, susceptibility to}(OMIM:245300, nan);Insomnia, fatal familial(OMIM:600072, AD);Huntington disease-like 1(OMIM:603218, AD);Spongiform encephalopathy with neuropsychiatric features(OMIM:606688, AD)","克雅氏病(OMIM:123400, AD);Gerstmann-Straussler 病(OMIM:137440, AD);脑淀粉样血管病，PRNP相关(OMIM:137440, AD);{库鲁，易感性}(OMIM:245300, nan);失眠，致命的家族(OMIM:600072, AD);亨廷顿病样 1(OMIM:603218, AD);具有神经精神特征的海绵状脑病(OMIM:606688, AD)"
SLC26A5,"?Deafness, autosomal recessive 61(OMIM:613865, AR)","?耳聋，常染色体隐性遗传 61(OMIM:613865, AR)"
DNA2,"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 6(OMIM:615156, AD);?Seckel syndrome 8(OMIM:615807, AR)","进行性外眼肌麻痹伴线粒体 DNA 缺失，常染色体显性遗传 6(OMIM:615156, AD);?Seckel 综合征 8(OMIM:615807, AR)"
KCNN3,"Zimmermann-Laband syndrome 3(OMIM:618658, AD)","Zimmermann-Laband 综合征 3(OMIM:618658, AD)"
ALG9,"Gillessen-Kaesbach-Nishimura syndrome(OMIM:263210, AR);Congenital disorder of glycosylation, type Il(OMIM:608776, AR)","Gillessen-Kaesbach-Nishimura 综合征(OMIM:263210, AR);先天性糖基化障碍，II型(OMIM:608776, AR)"
TYR,"Albinism, oculocutaneous, type IA(OMIM:203100, AR);[Skin/hair/eye pigmentation 3, light/dark/freckling skin](OMIM:601800, AD);{Melanoma, cutaneous malignant, susceptibility to, 8}(OMIM:601800, AD);[Skin/hair/eye pigmentation 3, blue/green eyes](OMIM:601800, AD);Albinism, oculocutaneous, type IB(OMIM:606952, AR)","白化病，眼皮肤，IA 型(OMIM:203100, AR);[皮肤/头发/眼睛色素沉着3，浅色/深色/雀斑皮肤](OMIM:601800, AD);{黑色素瘤，皮肤恶性，易感性，8}(OMIM:601800, AD);[皮肤/头发/眼睛色素沉着3，蓝/绿眼睛](OMIM:601800, AD);白化病，眼皮肤，IB型(OMIM:606952, AR)"
ZFAT1,"{Autoimmune thyroid disease, susceptibility to, 3}(OMIM:608175, nan)","{自身免疫性甲状腺疾病，易感性，3}(OMIM:608175, nan)"
TPRN,"Deafness, autosomal recessive 79(OMIM:613307, AR)","耳聋，常染色体隐性遗传 79(OMIM:613307, AR)"
FOXF1,"Alveolar capillary dysplasia with misalignment of pulmonary veins(OMIM:265380, AD)","肺泡毛细血管发育不良伴肺静脉错位(OMIM:265380, AD)"
CLIC5,"?Deafness, autosomal recessive 103(OMIM:616042, AR)","?耳聋，常染色体隐性遗传 103(OMIM:616042, AR)"
TGFB1,"Camurati-Engelmann disease(OMIM:131300, AD);{Cystic fibrosis lung disease, modifier of}(OMIM:219700, AR);Inflammatory bowel disease, immunodeficiency, and encephalopathy(OMIM:618213, AR)","卡穆拉蒂-恩格曼病(OMIM:131300, AD);{囊性纤维化肺病，修饰词}(OMIM:219700, AR);炎症性肠病、免疫缺陷和脑病(OMIM:618213, AR)"
ASAH1,"Spinal muscular atrophy with progressive myoclonic epilepsy(OMIM:159950, AR);Farber lipogranulomatosis(OMIM:228000, AR)","脊髓性肌萎缩伴进行性肌阵挛性癫痫(OMIM:159950, AR);Farber脂肪肉芽肿病(OMIM:228000, AR)"
IL2RB,"Immunodeficiency 63 with lymphoproliferation and autoimmunity(OMIM:618495, AR)","免疫缺陷 63 伴有淋巴增殖和自身免疫(OMIM:618495, AR)"
OFD1,"Orofaciodigital syndrome I(OMIM:311200, XLD);?Retinitis pigmentosa 23(OMIM:300424, XLR);Simpson-Golabi-Behmel syndrome, type 2(OMIM:300209, XLR);Joubert syndrome 10(OMIM:300804, XLR)","口颌面指综合征 I(OMIM:311200, XLD);?色素性视网膜炎 23(OMIM:300424, XLR);Simpson-Golabi-Behmel 综合征，2 型(OMIM:300209, XLR);Joubert 综合征 10(OMIM:300804, XLR)"
NSUN2,"Intellectual developmental disorder, autosomal recessive 5(OMIM:611091, AR)","智力发育障碍，常染色体隐性遗传 5(OMIM:611091, AR)"
COASY,"Neurodegeneration with brain iron accumulation 6(OMIM:615643, AR);Pontocerebellar hypoplasia, type 12(OMIM:618266, AR)","伴有脑铁积累的神经退行性疾病 6(OMIM:615643, AR);脑桥小脑发育不全，12型(OMIM:618266, AR)"
ZCCHC8,"?Pulmonary fibrosis and/or bone marrow failure, telomere-related, 5(OMIM:618674, AD)","?肺纤维化和/或骨髓衰竭，端粒相关，5(OMIM:618674, AD)"
NBEA,"Neurodevelopmental disorder with or without early-onset generalized epilepsy(OMIM:619157, AD)","伴有或不伴有早发全身性癫痫的神经发育障碍(OMIM:619157, AD)"
NSF,"Developmental and epileptic encephalopathy 96(OMIM:619340, AD)","发育性和癫痫性脑病 96(OMIM:619340, AD)"
CHD8,"Intellectual developmental disorder with autism and macrocephaly(OMIM:615032, AD)","智力发育障碍伴自闭症和大头畸形(OMIM:615032, AD)"
DHX38,"Retinitis pigmentosa 84(OMIM:618220, AR)","色素性视网膜炎 84(OMIM:618220, AR)"
DHH,"46XY sex reversal 7(OMIM:233420, AR);46XY gonadal dysgenesis with minifascicular neuropathy(OMIM:607080, AR)","46XY性反转7(OMIM:233420, AR);46XY 性腺发育不全伴小束神经病变(OMIM:607080, AR)"
SLC9A7,"Intellectual developmental disorder, X-linked 108(OMIM:301024, XLR)","智力发育障碍，X 连锁 108(OMIM:301024, XLR)"
CD2AP,"Glomerulosclerosis, focal segmental, 3(OMIM:607832, nan)","肾小球硬化，局灶节段性，3(OMIM:607832, nan)"
TDP2,"Spinocerebellar ataxia, autosomal recessive 23(OMIM:616949, AR)","脊髓小脑性共济失调，常染色体隐性遗传 23(OMIM:616949, AR)"
CHST6,"Macular corneal dystrophy(OMIM:217800, AR)","黄斑角膜营养不良(OMIM:217800, AR)"
INTU,"?Orofaciodigital syndrome XVII(OMIM:617926, AR);?Short-rib thoracic dysplasia 20 with polydactyly(OMIM:617925, AR)","?口颌面指综合征 XVII(OMIM:617926, AR);?短肋型胸椎发育不良 20 伴多指畸形(OMIM:617925, AR)"
TYMP,"Mitochondrial DNA depletion syndrome 1 (MNGIE type)(OMIM:603041, AR)","线粒体 DNA 耗竭综合征 1（MNGIE 型）(OMIM:603041, AR)"
RNF43,"Sessile serrated polyposis cancer syndrome(OMIM:617108, AD)","无蒂锯齿状息肉病癌症综合征(OMIM:617108, AD)"
NTNG2,"Neurodevelopmental disorder with behavioral abnormalities, absent speech, and hypotonia(OMIM:618718, AR)","伴有行为异常、失语和张力减退的神经发育障碍(OMIM:618718, AR)"
COL9A3,"Epiphyseal dysplasia, multiple, 3, with or without myopathy(OMIM:600969, AD);{Intervertebral disc disease, susceptibility to}(OMIM:603932, nan)","骨骺发育不良，多发，3，伴或不伴肌病(OMIM:600969, AD);{椎间盘疾病，易感性}(OMIM:603932, nan)"
CARD11,"Immunodeficiency 11A(OMIM:615206, AR);B-cell expansion with NFKB and T-cell anergy(OMIM:616452, AD);Immunodeficiency 11B with atopic dermatitis(OMIM:617638, AD)","免疫缺陷 11A(OMIM:615206, AR);B 细胞扩增与 NFKB 和 T 细胞无反应(OMIM:616452, AD);免疫缺陷 11B 伴特应性皮炎(OMIM:617638, AD)"
CFAP65,"Spermatogenic failure 40(OMIM:618664, AR)","生精失败 40(OMIM:618664, AR)"
SCO2,"Mitochondrial complex IV deficiency, nuclear type 2(OMIM:604377, AR);Myopia 6(OMIM:608908, AD)","线粒体复合体 IV 缺乏，核型 2(OMIM:604377, AR);近视 6(OMIM:608908, AD)"
PSAT1,"?Phosphoserine aminotransferase deficiency(OMIM:610992, AR);Neu-Laxova syndrome 2(OMIM:616038, AR)","?磷酸丝氨酸氨基转移酶缺乏症(OMIM:610992, AR);Neu-Laxova 综合征 2(OMIM:616038, AR)"
PLOD3,"Lysyl hydroxylase 3 deficiency(OMIM:612394, AR)","赖氨酰羟化酶3缺乏症(OMIM:612394, AR)"
PAI1,"Plasminogen activator inhibitor-1 deficiency(OMIM:613329, AD, AR)","纤溶酶原激活物抑制剂1缺乏症(OMIM:613329, AD, AR)"
OFD11,"Orofaciodigital syndrome XI(OMIM:612913, IC)","口颌面指综合征 XI(OMIM:612913, IC)"
RNF170,"Ataxia, sensory, 1, autosomal dominant(OMIM:608984, AD);Spastic paraplegia 85, autosomal recessive(OMIM:619686, AR)","共济失调，感觉，1，常染色体显性遗传(OMIM:608984, AD);痉挛性截瘫 85，常染色体隐性遗传(OMIM:619686, AR)"
GRIN2D,"Developmental and epileptic encephalopathy 46(OMIM:617162, AD)","发育性和癫痫性脑病 46(OMIM:617162, AD)"
SLC7A7,"Lysinuric protein intolerance(OMIM:222700, AR)","赖氨酸尿蛋白不耐受(OMIM:222700, AR)"
HIGM4,"Immunodeficiency with hyper-IgM, type 4(OMIM:608184, AR)","高 IgM 免疫缺陷，4 型(OMIM:608184, AR)"
DNAL1,"Ciliary dyskinesia, primary, 16(OMIM:614017, AR)","纤毛运动障碍，原发性，16(OMIM:614017, AR)"
CCDC28B,"{Bardet-Biedl syndrome 1, modifier of}(OMIM:209900, AR, DR)","{Bardet-Biedl 综合征 1，修饰词}(OMIM:209900, AR, DR)"
AIMP2,"Leukodystrophy, hypomyelinating, 17(OMIM:618006, AR)","白细胞营养不良，髓鞘功能减退，17(OMIM:618006, AR)"
IPO8,"VISS syndrome(OMIM:619472, AR)","VISS 综合征(OMIM:619472, AR)"
LAMC2,"Epidermolysis bullosa, junctional 3A, intermediate(OMIM:619785, nan);Epidermolysis bullosa, junctional 3B, severe(OMIM:619786, nan)","大疱性表皮松解症，交界 3A，中间(OMIM:619785, nan);大疱性表皮松解症，交界 3B，重度(OMIM:619786, nan)"
GRIN2B,"Intellectual developmental disorder, autosomal dominant 6, with or without seizures(OMIM:613970, AD);Developmental and epileptic encephalopathy 27(OMIM:616139, AD)","智力发育障碍，常染色体显性遗传 6，伴或不伴癫痫发作(OMIM:613970, AD);发育性和癫痫性脑病 27(OMIM:616139, AD)"
CACNG2,"?Intellectual developmental disorder, autosomal dominant 10(OMIM:614256, AD)","?智力发育障碍，常染色体显性遗传 10(OMIM:614256, AD)"
GLDC,"Glycine encephalopathy(OMIM:605899, AR)","甘氨酸脑病(OMIM:605899, AR)"
SCN10A,"Episodic pain syndrome, familial, 2(OMIM:615551, AD)","发作性疼痛综合征，家族性，2(OMIM:615551, AD)"
NDUFA12,"Mitochondrial complex I deficiency, nuclear type 23(OMIM:618244, AR)","线粒体复合体 I 缺乏症，核型 23(OMIM:618244, AR)"
NDN,"Prader-Willi syndrome(OMIM:176270, AD)","Prader-Willi 综合征(OMIM:176270, AD)"
CDC40,"?Pontocerebellar hypoplasia, type 15(OMIM:619302, AR)","? 脑桥小脑发育不全，15 型(OMIM:619302, AR)"
OXCT1,"Succinyl CoA:3-oxoacid CoA transferase deficiency(OMIM:245050, AR)","琥珀酰辅酶A：3-含氧酸辅酶A转移酶缺乏症(OMIM:245050, AR)"
TMEM126A,"Optic atrophy 7(OMIM:612989, AR)","视神经萎缩 7(OMIM:612989, AR)"
CAMK2G,"Intellectual developmental disorder, autosomal dominant 59(OMIM:618522, AD)","智力发育障碍，常染色体显性遗传 59(OMIM:618522, AD)"
FGF23,"Hypophosphatemic rickets, autosomal dominant(OMIM:193100, AD);Tumoral calcinosis, hyperphosphatemic, familial, 2(OMIM:617993, AR)","低磷性佝偻病，常染色体显性遗传(OMIM:193100, AD);肿瘤性钙质沉着症，高磷血症，家族性，2(OMIM:617993, AR)"
TMEM106B,"Leukodystrophy, hypomyelinating, 16(OMIM:617964, AD)","白细胞营养不良，髓鞘发育不良，16(OMIM:617964, AD)"
ACTN2,"Myopathy, distal, 6, adult onset(OMIM:618655, AD);Cardiomyopathy, dilated, 1AA, with or without LVNC(OMIM:612158, AD);Cardiomyopathy, hypertrophic, 23, with or without LVNC(OMIM:612158, AD);Myopathy, congenital with structured cores and Z-line abnormalities(OMIM:618654, AD)","肌病，远端，6，成人发病(OMIM:618655, AD);心肌病，扩张型，1AA，伴或不伴 LVNC(OMIM:612158, AD);心肌病，肥厚，23，伴或不伴 LVNC(OMIM:612158, AD);肌病，先天性结构核心和 Z 线异常(OMIM:618654, AD)"
CSRP3,"?Cardiomyopathy, dilated, 1M(OMIM:607482, nan);Cardiomyopathy, hypertrophic, 12(OMIM:612124, AD)","? 心肌病，扩张型，1M(OMIM:607482, nan);心肌病，肥厚，12(OMIM:612124, AD)"
CST3,"Cerebral amyloid angiopathy(OMIM:105150, AD);{Macular degeneration, age-related, 11}(OMIM:611953, nan)","脑淀粉样血管病(OMIM:105150, AD);{黄斑变性，年龄相关，11}(OMIM:611953, nan)"
IL1RN,"{Microvascular complications of diabetes 4}(OMIM:612628, nan);Interleukin 1 receptor antagonist deficiency(OMIM:612852, AR);{Gastric cancer risk after H. pylori infection}(OMIM:613659, nan)","{糖尿病的微血管并发症 4}(OMIM:612628, nan);白细胞介素1受体拮抗剂缺乏症(OMIM:612852, AR);{幽门螺杆菌感染后的胃癌风险}(OMIM:613659, nan)"
UQCRC2,"Mitochondrial complex III deficiency, nuclear type 5(OMIM:615160, AR)","线粒体复合体 III 缺乏，核型 5(OMIM:615160, AR)"
KRT13,"White sponge nevus 2(OMIM:615785, AD)","白色海绵痣 2(OMIM:615785, AD)"
EIF2AK4,"Pulmonary venoocclusive disease 2(OMIM:234810, AR)","肺静脉闭塞性疾病 2(OMIM:234810, AR)"
ALG10B,"{Long QT syndrome, acquired, reduced susceptibility to}(OMIM:613688, AD)","{长 QT 综合征，获得性，易感性降低}(OMIM:613688, AD)"
KPTN,"Intellectual developmental disorder, autosomal recessive 41(OMIM:615637, AR)","智力发育障碍，常染色体隐性遗传 41(OMIM:615637, AR)"
NUP37,"?Microcephaly 24, primary, autosomal recessive(OMIM:618179, AR)","?小头畸形 24，原发性，常染色体隐性遗传(OMIM:618179, AR)"
KREMEN1,"Ectodermal dysplasia 13, hair/tooth type(OMIM:617392, AR)","外胚层发育不良 13，毛发/牙齿型(OMIM:617392, AR)"
RPL10,"{Autism, susceptibility to, X-linked 5}(OMIM:300847, nan);Intellectual developmental disorder, X-linked, syndromic, 35(OMIM:300998, XLR)","{自闭症、易感性、X 连锁 5}(OMIM:300847, nan);智力发育障碍，X 连锁，综合征，35(OMIM:300998, XLR)"
IRAK3,"{Asthma susceptibility 5}(OMIM:611064, nan)","{哮喘易感性 5}(OMIM:611064, nan)"
C8A,"C8 deficiency, type I(OMIM:613790, AR)","C8缺乏，I型(OMIM:613790, AR)"
CRIPT,"Short stature with microcephaly and distinctive facies(OMIM:615789, AR)","身材矮小，小头畸形和独特的面容(OMIM:615789, AR)"
GUCY2D,"?Choroidal dystrophy, central areolar 1(OMIM:215500, AD);Leber congenital amaurosis 1(OMIM:204000, AR);Cone-rod dystrophy 6(OMIM:601777, AD, AR);Night blindness, congenital stationary, type 1I(OMIM:618555, AR)","?脉络膜营养不良，中央乳晕1(OMIM:215500, AD);莱伯先天性黑蒙1(OMIM:204000, AR);锥杆营养不良 6(OMIM:601777, AD, AR);夜盲症，先天性静止，1I型(OMIM:618555, AR)"
OXR1,"Cerebellar hypoplasia/atrophy, epilepsy, and global developmental delay(OMIM:213000, AR)","小脑发育不全/萎缩、癫痫和整体发育迟缓(OMIM:213000, AR)"
SMO,"Pallister-Hall-like syndrome(OMIM:241800, AR);Curry-Jones syndrome, somatic mosaic(OMIM:601707, nan)","Pallister-Hall 样综合征(OMIM:241800, AR);Curry-Jones 综合征，体细胞镶嵌(OMIM:601707, nan)"
PTHLH,"Brachydactyly, type E2(OMIM:613382, AD)","短指，E2型(OMIM:613382, AD)"
AA1,"Alopecia areata 1(OMIM:104000, Mu)","斑秃1(OMIM:104000, Mu)"
UBR1,"Johanson-Blizzard syndrome(OMIM:243800, AR)","约翰逊-暴雪综合症(OMIM:243800, AR)"
EPOR,"[Erythrocytosis, familial, 1](OMIM:133100, AD)","[红细胞增多症，家族性，1](OMIM:133100, AD)"
NOD2,"Blau syndrome(OMIM:186580, AD);{Inflammatory bowel disease 1, Crohn disease}(OMIM:266600, Mu);{Yao syndrome}(OMIM:617321, Mu)","布劳综合征(OMIM:186580, AD);{炎症性肠病1、克罗恩病}(OMIM:266600, Mu);澳瑶症候群}(OMIM:617321, Mu)"
PRMT7,"Short stature, brachydactyly, intellectual developmental disability, and seizures(OMIM:617157, AR)","身材矮小、短指、智力发育障碍和癫痫发作(OMIM:617157, AR)"
CTNND1,"Blepharocheilodontic syndrome 2(OMIM:617681, AD)","眼睑龅牙综合征 2(OMIM:617681, AD)"
CDIN1,"Dyserythropoietic anemia, congenital, type Ib(OMIM:615631, AR)","先天性红细胞生成障碍性贫血，Ib 型(OMIM:615631, AR)"
G6B,"?Thrombocytopenia, anemia, and myelofibrosis(OMIM:617441, AR)","?血小板减少症、贫血症和骨髓纤维化(OMIM:617441, AR)"
AFF4,"CHOPS syndrome(OMIM:616368, AD)","CHOPS综合征(OMIM:616368, AD)"
HLA-C,"{Psoriasis susceptibility 1}(OMIM:177900, Mu);{HIV-1 viremia, susceptibility to}(OMIM:609423, nan)","{牛皮癣易感性 1}(OMIM:177900, Mu);{HIV-1 病毒血症，易感性}(OMIM:609423, nan)"
TAB2,"Congenital heart defects, nonsyndromic, 2(OMIM:614980, AD)","先天性心脏缺陷，非综合征，2(OMIM:614980, AD)"
NUDT15,"{Thiopurines, poor metabolism of, 2}(OMIM:616903, AD)","{硫嘌呤，代谢不良，2}(OMIM:616903, AD)"
TIA1,"Welander distal myopathy(OMIM:604454, AD, AR);Amyotrophic lateral sclerosis 26 with or without frontotemporal dementia(OMIM:619133, AD)","Welander远端肌病(OMIM:604454, AD, AR);肌萎缩侧索硬化症 26 伴或不伴额颞叶痴呆(OMIM:619133, AD)"
RNF212,"?Spermatogenic failure 62(OMIM:619673, AR);Recombination rate QTL 1(OMIM:612042, nan)","?生精失败 62(OMIM:619673, AR);重组率QTL 1(OMIM:612042, nan)"
GCLC,"Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency(OMIM:230450, AR);{Myocardial infarction, susceptibility to}(OMIM:608446, nan)","γ-谷氨酰半胱氨酸合成酶缺乏引起的溶血性贫血(OMIM:230450, AR);{心肌梗塞，易感性}(OMIM:608446, nan)"
SMARCE1,"{Meningioma, familial, susceptibility to}(OMIM:607174, AD);Coffin-Siris syndrome 5(OMIM:616938, AD)","{脑膜瘤，家族性，易感性}(OMIM:607174, AD);棺材-天狼星综合征 5(OMIM:616938, AD)"
OSMR,"Amyloidosis, primary localized cutaneous, 1(OMIM:105250, AD)","淀粉样变性，原发性局部皮肤，1(OMIM:105250, AD)"
CWC27,"Retinitis pigmentosa with or without skeletal anomalies(OMIM:250410, AR)","伴有或不伴有骨骼异常的色素性视网膜炎(OMIM:250410, AR)"
MRPS16,"Combined oxidative phosphorylation deficiency 2(OMIM:610498, AR)","联合氧化磷酸化缺陷2(OMIM:610498, AR)"
LEP,"Obesity, morbid, due to leptin deficiency(OMIM:614962, AR)","肥胖，病态，由于瘦素缺乏(OMIM:614962, AR)"
ABCD3,"?Bile acid synthesis defect, congenital, 5(OMIM:616278, AR)","?胆汁酸合成缺陷，先天性，5(OMIM:616278, AR)"
EIF3F,"Intellectual developmental disorder, autosomal recessive 67(OMIM:618295, AR)","智力发育障碍，常染色体隐性遗传 67(OMIM:618295, AR)"
HSD11B2,"Apparent mineralocorticoid excess(OMIM:218030, AR)","明显的盐皮质激素过量(OMIM:218030, AR)"
PPIP5K2,"Deafness, autosomal recessive 100(OMIM:618422, AR)","耳聋，常染色体隐性遗传 100(OMIM:618422, AR)"
HERC1,"Macrocephaly, dysmorphic facies, and psychomotor retardation(OMIM:617011, AR)","大头畸形、畸形面容和精神运动迟缓(OMIM:617011, AR)"
KRIT1,"Cavernous malformations of CNS and retina(OMIM:116860, AD);Cerebral cavernous malformations-1(OMIM:116860, AD);Hyperkeratotic cutaneous capillary-venous malformations associated with cerebral capillary malformations(OMIM:116860, AD)","中枢神经系统和视网膜海绵状血管瘤(OMIM:116860, AD);脑海绵状血管瘤-1(OMIM:116860, AD);与脑毛细血管畸形相关的角化过度性皮肤毛细血管-静脉畸形(OMIM:116860, AD)"
EHBP1,"{Prostate cancer, hereditary, 12}(OMIM:611868, nan)","{前列腺癌，遗传性，12}(OMIM:611868, nan)"
ANAPC1,"Rothmund-Thomson syndrome, type 1(OMIM:618625, AR)","Rothmund-Thomson 综合征，1 型(OMIM:618625, AR)"
BCAT2,"?Hypervalinemia or hyperleucine-isoleucinemia(OMIM:618850, AR)","?高缬氨酸血症或高亮氨酸-异亮氨酸血症(OMIM:618850, AR)"
FNIP1,"Immunodeficiency 93 and hypertrophic cardiomyopathy(OMIM:619705, AR)","免疫缺陷 93 和肥厚型心肌病(OMIM:619705, AR)"
RP,"Retinitis pigmentosa(OMIM:268000, AR)","色素性视网膜炎(OMIM:268000, AR)"
ANKRD17,"Chopra-Amiel-Gordon syndrome(OMIM:619504, AD)","Chopra-Amiel-Gordon 综合征(OMIM:619504, AD)"
AP1S1,"MEDNIK syndrome(OMIM:609313, AR)","MEDNIK 综合征(OMIM:609313, AR)"
CNOT1,"Holoprosencephaly 12, with or without pancreatic agenesis(OMIM:618500, AD);Vissers-Bodmer syndrome(OMIM:619033, AD)","前脑全畸形 12，伴或不伴胰腺发育不全(OMIM:618500, AD);Visser-Bodmer 综合征(OMIM:619033, AD)"
CHD4,"Sifrim-Hitz-Weiss syndrome(OMIM:617159, AD)","Sifrim-Hitz-Weiss 综合征(OMIM:617159, AD)"
FBXO38,"Neuronopathy, distal hereditary motor, type IID(OMIM:615575, AD)","神经元病，远端遗传性运动，IID 型(OMIM:615575, AD)"
MIR96,"Deafness, autosomal dominant 50(OMIM:613074, AD)","耳聋，常染色体显性遗传 50(OMIM:613074, AD)"
GLI1,"Polydactyly, preaxial I(OMIM:174400, AR);Polydactyly, postaxial, type A8(OMIM:618123, AR)","多指，前轴 I(OMIM:174400, AR);多指，轴后，A8型(OMIM:618123, AR)"
ACSL4,"Intellectual developmental disorder, X-linked 63(OMIM:300387, XLD)","智力发育障碍，X 连锁 63(OMIM:300387, XLD)"
BLK,"Maturity-onset diabetes of the young, type 11(OMIM:613375, AD)","青少年 11 型成年期糖尿病(OMIM:613375, AD)"
SNAP25,"?Myasthenic syndrome, congenital, 18(OMIM:616330, AD)","? 肌无力综合征，先天性，18(OMIM:616330, AD)"
SLC30A8,"{Diabetes mellitus, noninsulin-dependent, susceptibility to}(OMIM:125853, AD)","糖尿病，非胰岛素依赖型，易感(OMIM:125853, AD)"
COX7B,"Linear skin defects with multiple congenital anomalies 2(OMIM:300887, XLD)","具有多个先天性异常的线性皮肤缺陷 2(OMIM:300887, XLD)"
DDX59,"Orofaciodigital syndrome V(OMIM:174300, AR)","口颌面指综合征 V(OMIM:174300, AR)"
HR,"Alopecia universalis(OMIM:203655, AR);Atrichia with papular lesions(OMIM:209500, AR)","普秃(OMIM:203655, AR);伴有丘疹性病变的毛细血管(OMIM:209500, AR)"
