"id","Phenotype"
"23363","Three m syndrome 2(612921)"
"23370","Retinitis pigmentosa 78(617433)"
"23384","Opitz gbbb syndrome, type ii(145410)|Teebi hypertelorism syndrome(145420)|Facial clefting, oblique, 1(600251)"
"23385","Acne inversa, familial, 1(142690)"
"23387","Spondyloepimetaphyseal dysplasia, krakow type(618162)"
"23389","Impaired intellectual development and distinctive facial features with or without cardiac defects(616789)"
"23394","Van der aa syndrome(615873)"
"23395","Perrault syndrome 4(615300)|Hydrops, lactic acidosis, and sideroblastic anemia(617021)"
"23396","Lethal congenital contracture syndrome 3(611369)"
"23397","Microcephaly 23, primary, autosomal recessive(617985)"
"23400","Rakeb syndrome(606693)|Spastic paraplegia 78, autosomal recessive(617225)"
"23404","Short stature, hearing loss, retinitis pigmentosa, and distinctive facies(617763)"
"23405","Leydig cell tumors(138800)|Rhabdomyosarcoma, embryonal, 2(180295)|Pleuropulmonary blastoma(601200)|Global developmental delay, lung cysts, overgrowth, and wilms tumor(618272)"
"23414","Tetralogy of fallot(187500)|Diaphragmatic hernia 3(610187)|46,xy sex reversal 9(616067)"
"23417","Coa decarboxylase deficiency(248360)"
"23418","Pigmented paravenous chorioretinal atrophy(172870)|Retinitis pigmentosa 12(600105)|Leber congenital amaurosis 8(613835)"
"23424","Cataract 36(613887)"
"23426","Fraser syndrome 3(617667)"
"23431","Stuttering, familial persistent, 1(184450)|Spastic paraplegia 51, autosomal recessive(613744)"
"23435","Amyotrophic lateral sclerosis 10 with or without frontotemporal dementia(612069)"
"23438","Perrault syndrome 2(614926)"
"23443","Arthrogryposis, mental retardation, and seizures(615553)"
"23446","Onset, with ataxia, tremor, optic atrophy, and cognitive decline(618868)"
"23451","Myelodysplastic syndrome(614286)"
"23461","Hypertrichosis, congenital generalized, with or without gingival hyperplasia(135400)"
"23474","Encephalopathy, ethylmalonic(602473)"
"23479","Myopathy with lactic acidosis, hereditary(255125)"
"2348","Neurodegeneration due to cerebral folate transport deficiency(613068)"
"23483","Manzke syndrome(616145)"
"23495","Immunodeficiency, common variable, 2(240500)|Immunoglobulin a deficiency 2(609529)"
"23498","Vertebral, cardiac, renal, and limb defects syndrome 1(617660)"
"23499","Lissencephaly 9 with complex brainstem malformation(618325)"
"23500","Nephrotic syndrome, type 24(619263)"
"23503","Spastic paraplegia 15, autosomal recessive(270700)"
"23509","Degos disease 2(615327)"
"23511","Stefanova syndrome(618804)"
"23512","Matsumoto syndrome(618786)"
"23516","Hyperostosis cranialis interna(144755)|Hypermanganesemia with dystonia 2(617013)"
"23522","Ohdo syndrome, sbbys variant(603736)|Genitopatellar syndrome(606170)"
"23529","Induced sweating syndrome 2(610313)"
"23530","Glucocorticoid deficiency 4 with or without mineralocorticoid deficiency(614736)"
"23533","Oculomotor apraxia 3(615217)"
"23534","Girdle, autosomal dominant 2(608423)"
"23545","Cutis laxa, autosomal recessive, type iia(219200)|Wrinkly skin syndrome(278250)"
"23554","Exudative vitreoretinopathy 5(613310)"
"23556","Seizures syndrome 1(614080)"
"23558","Deafness, autosomal recessive 107(617639)"
"23562","Deafness, autosomal recessive 29(614035)"
"23568","Retinitis pigmentosa 82 with or without situs inversus(615434)"
"23581","Ichthyosis, congenital, autosomal recessive 12(617320)"
"23586","Merten syndrome 2(616298)"
"23590","Coenzyme q10 deficiency, primary, 2(614651)"
"23592","Ollendorff syndrome(166700)"
"23594","Gorlin syndrome 3(613803)"
"23600","Bile acid synthesis defect, congenital, 4(214950)|Coa racemase deficiency(614307)"
"23607","Focal segmental glomerulosclerosis 3, susceptibility to(607832)"
"23636","Striatonigral degeneration, infantile(271930)"
"23639","Ciliary dyskinesia, primary, 19(614935)"
"23646","Spinocerebellar ataxia 46(617770)"
"23676","Linked 4(300066)"
"23729","Sedoheptulokinase deficiency(617213)"
"23732","Developmental and epileptic encephalopathy 37(616981)"
"23742","Willi syndrome(176270)"
"23746","Retinitis pigmentosa(268000)|Leber congenital amaurosis 4(604393)"
"23761","Liberfarb syndrome(618889)"
"23765","Immunodeficiency 51(613953)"
"23767","Hypogonadotropic hypogonadism 21 with or without anosmia(615271)"
"23780","Schizophrenia(181500)"
"238","Neuroblastoma, susceptibility to, 3(613014)"
"2395","Friedreich ataxia(229300)"
"24","Related, 2(153800)|Stargardt disease 1(248200)|Retinitis pigmentosa 19(601718)|Rod dystrophy 3(604116)"
"240","Asthma, susceptibility to(600807)"
"241","Stroke, ischemic(601367)"
"24137","Linked 100(300923)"
"24140","Linked 9(309549)"
"24145","Oocyte maturation defect 7(618550)"
"24148","Retinitis pigmentosa 60(613983)"
"242","Ichthyosis, congenital, autosomal recessive 2(242100)"
"2439","Juvenile myelomonocytic leukemia(607785)|Like disorder with or without juvenile myelomonocytic leukemia(613563)"
"246176","Ciliary dyskinesia, primary, 41(618449)"
"246213","Deafness, autosomal dominant 25(605583)"
"246243","Progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal recessive 2(616479)"
"246329","Bloch(255995)"
"2464","Kb(136570)"
"2475","Focal cortical dysplasia, type ii(607341)|Kingsmore syndrome(616638)"
"2483","Facioscapulohumeral muscular dystrophy 1(158900)"
"2487","Osteoarthritis susceptibility 1(165720)"
"2488","Hypogonadotropic hypogonadism 24 without anosmia(229070)"
"249","Hypophosphatasia, adult(146300)|Hypophosphatasia, infantile(241500)|Hypophosphatasia, childhood(241510)"
"2492","Ovarian dysgenesis 1(233300)|Twinning, dizygotic(276400)|Ovarian hyperstimulation syndrome(608115)"
"2495","Hemochromatosis, type 5(615517)"
"25","Leukemia, chronic myeloid(608232)|Congenital heart defects and skeletal malformations syndrome(617602)"
"2512","Hyperferritinemia with or without cataract(600886)|Neurodegeneration with brain iron accumulation 3(606159)|Ferritin deficiency(615604)"
"2516","Premature ovarian failure 7(612964)|46,xy sex reversal 3(612965)|Spermatogenic failure 8(613957)|46,xx sex reversal 4(617480)"
"2517","Fucosidosis(230000)"
"2521","Amyotrophic lateral sclerosis 6 with or without frontotemporal dementia(608030)|Tremor, hereditary essential, 4(614782)"
"2523","Bombay phenotype(616754)"
"2524","Vitamin b12 plasma level quantitative trait locus 1(612542)|Bombay phenotype(616754)"
"2525","Blood group, lewis system(618983)"
"2528","Fucosyltransferase 6 deficiency(613852)"
"2530","Congenital disorder of glycosylation with defective fucosylation 1(618005)"
"253017","Ventricular tachycardia, catecholaminergic polymorphic, 3(614021)"
"2531","Erythrokeratodermia variabilis et progressiva 4(617526)"
"2532","Blood group, duffy system(110700)|Malaria, susceptibility to(611162)|White blood cell count quantitative trait locus 1(611862)"
"2533","Thrombocytopenia 3(273900)"
"2535","Omodysplasia 2(164745)"
"253738","Hypotonia, ataxia, and delayed development syndrome(617330)"
"2538","Glycogen storage disease ia(232200)"
"253827","Deafness, autosomal recessive 74(613718)"
"2539","Anemia, nonspherocytic hemolytic, due to g6pd deficiency(300908)|Malaria, susceptibility to(611162)"
"253959","Neurodevelopmental disorder with hypotonia, neonatal respiratory insufficiency, and thermodysregulation(618797)"
"254065","Linked 93(300659)"
"2542","Glycogen storage disease ib(232220)|Glycogen storage disease ic(232240)|Congenital disorder of glycosylation, type iiw(619525)"
"254394","Ovarian dysgenesis 4(616185)"
"254428","Like nephropathy 2(619468)"
"254528","Spermatogenic failure 22(617706)"
"2548","Glycogen storage disease ii(232300)"
"2549","Deafness, autosomal recessive 26(605428)"
"255101","Spermatogenic failure 40(618664)"
"2554","Epilepsy, idiopathic generalized, susceptibility to, 13(611136)|Developmental and epileptic encephalopathy 19(615744)"
"2555","Alcohol dependence(103780)|Developmental and epileptic encephalopathy 78(618557)"
"255738","Hypercholesterolemia, familial, 3(603776)"
"255758","Rib thoracic dysplasia 17 with or without polydactyly(617405)"
"2558","Developmental and epileptic encephalopathy 79(618559)"
"255928","Spinocerebellar ataxia, autosomal recessive 11(614229)"
"2560","Developmental and epileptic encephalopathy 45(617153)"
"2561","Developmental and epileptic encephalopathy 92(617829)"
"2562","Epilepsy, childhood absence, susceptibility to, 5(612269)|Developmental and epileptic encephalopathy 43(617113)"
"256297","Pancreatic and cerebellar agenesis(609069)|Pancreatic agenesis 2(615935)"
"2563","Epilepsy, idiopathic generalized, susceptibility to, 10(613060)"
"256471","Ceroid lipofuscinosis, neuronal, 7(610951)|Macular dystrophy with central cone involvement(616170)"
"2566","Febrile seizures, familial, 8(607681)|Developmental and epileptic encephalopathy 74(618396)"
"256764","Amelogenesis imperfecta, hypomaturation type, iia3(613211)"
"257","Frontonasal dysplasia 1(136760)"
"2571","Developmental and epileptic encephalopathy 89(619124)"
"25778","Spastic paraplegia 23, autosomal recessive(270750)|Congenital anomalies of kidney and urinary tract 1(610805)"
"25782","Martsolf syndrome 1(212720)|Warburg micro syndrome 2(614225)"
"25788","Colorectal cancer(114500)|Hodgkin, familial(605027)"
"25790","Heterotaxy, visceral, 11, autosomal, with male infertility(619608)"
"25793","Onset(260300)"
"25794","Retinitis pigmentosa 30(607921)"
"258","Amelogenesis imperfecta, type if(616270)"
"25802","Intestinal hypoperistalsis syndrome 3(619362)"
"2581","Krabbe disease(245200)"
"25814","Spinocerebellar ataxia 10(603516)"
"2582","Galactosemia iii(230350)"
"25821","Combined oxidative phosphorylation deficiency 10(614702)"
"25828","Combined oxidative phosphorylation deficiency 29(616811)"
"2583","Spastic paraplegia 26, autosomal recessive(609195)"
"25836","Cornelia de lange syndrome 1(122470)"
"25839","Congenital disorder of glycosylation, type iij(613489)|Wilson syndrome(618150)"
"2584","Galactosemia ii(230200)"
"25861","Deafness, autosomal recessive 31(607084)|Usher syndrome, type iid(611383)"
"25871","Anauxetic dysplasia 3(618853)"
"2588","Mucopolysaccharidosis, type iva(253000)"
"25885","Acrofacial dysostosis, cincinnati type(616462)"
"25886","Short stature, onychodysplasia, facial dysmorphism, and hypotrichosis(614813)"
"2590","Congenital disorder of glycosylation, type iit(618885)"
"2591","Tumoral calcinosis, hyperphosphatemic, familial, 1(211900)"
"25913","Melanoma, cutaneous malignant, susceptibility to, 10(615848)|Glioma susceptibility 9(616568)"
"25914","Microcephaly, short stature, and polymicrogyria with or without seizures(614833)"
"25915","Mitochondrial complex i deficiency, nuclear type 18(618240)"
"259197","Malaria, mild, susceptibility to(609148)"
"2592","Galactosemia i(230400)"
"25923","Neuropathy, hereditary sensory, type if(615632)"
"259232","Hypotonia, infantile, with psychomotor retardation and characteristic facies 1(615419)|Congenital contractures of the limbs and face, hypotonia, and developmental delay(616266)"
"259236","Deafness, autosomal recessive 6(600971)"
"259266","Microcephaly 5, primary, autosomal recessive(608716)"
"25929","Neurodevelopmental disorder with cerebellar atrophy and motor dysfunction(619333)"
"2593","Cerebral creatine deficiency syndrome 2(612736)"
"25930","Neurodevelopmental disorder and structural brain anomalies with or without seizures and spasticity(618890)"
"25939","Goutieres syndrome 5(612952)|Chilblain lupus 2(614415)"
"25942","Kolk syndrome(613406)"
"25953","Paroxysmal nonkinesigenic dyskinesia 1(118800)"
"25959","Palmoplantar keratoderma and woolly hair(616099)|Nephrotic syndrome, type 16(617783)"
"25973","Developmental and epileptic encephalopathy 75(618437)"
"25974","Methylmalonic aciduria and homocystinuria, cblc type(277400)"
"25977","Developmental and epileptic encephalopathy 21(615833)"
"25978","Frontotemporal dementia and/or amyotrophic lateral sclerosis 7(600795)|Moved to 600795(614696)"
"25981","Spermatogenic failure 18(617576)|Ciliary dyskinesia, primary, 37(617577)"
"26005","Orofaciodigital syndrome xiv(615948)"
"26007","Triokinase and fmn cyclase deficiency syndrome(618805)"
"26011","Tremor, hereditary essential, 5(616736)"
"26012","Hypogonadotropic hypogonadism 9 with or without anosmia(614838)"
"26022","Nanophthalmos 4(615972)"
"26040","Giedion midface retraction syndrome(269150)|Mental retardation, autosomal dominant 29(616078)"
"26047","Like syndrome 1(610042)|Autism, susceptibility to, 15(612100)"
"26053","Mental retardation, autosomal dominant 26(615834)"
"26057","Gordon syndrome(619504)"
"26058","Parkinson disease 11, autosomal dominant, susceptibility to(607688)"
"26060","Onset diabetes of the young, type 14(616511)"
"26090","Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract(612674)"
"26092","Myopathy, autosomal recessive, with rigid spine and distal joint contractures(617072)"
"26100","Intellectual developmental disorder with short stature and variable skeletal anomalies(618453)"
"26115","Intellectual developmental disorder with autistic features and language delay, with or without seizures(618906)"
"26119","Hypercholesterolemia, familial, 4(603813)"
"26121","Retinitis pigmentosa 11(600138)"
"26123","Orofaciodigital syndrome iv(258860)|Joubert syndrome 18(614815)"
"26128","Shprintzen syndrome(609460)"
"26137","Primrose syndrome(259050)"
"26146","Loken syndrome 9(616629)"
"2615","Cleft palate, proliferative retinopathy, and developmental delay(619074)"
"26154","Ichthyosis, congenital, autosomal recessive 4b(242500)|Ichthyosis, congenital, autosomal recessive 4a(601277)"
"26160","Rib thoracic dysplasia 10 with or without polydactyly(615630)|Retinitis pigmentosa 71(616394)"
"2617","Neuronopathy, distal hereditary motor, type va(600794)|Tooth disease, axonal, type 2d(601472)|Spinal muscular atrophy, infantile, james type(619042)"
"26173","Neurodevelopmental disorder with cataracts, poor growth, and dysmorphic facies(618571)"
"261734","Nephronophthisis 4(606966)|Loken syndrome 4(606996)"
"26175","Naz type(619345)"
"26191","Systemic lupus erythematosus(152700)|Rheumatoid arthritis(180300)|Type 1 diabetes mellitus(222100)"
"2622","Ciliary dyskinesia, primary, 33(616726)"
"26224","Intellectual developmental disorder with short stature, facial anomalies, and speech defects(606220)"
"26227","Laxova syndrome 1(256520)|Phosphoglycerate dehydrogenase deficiency(601815)"
"26229","Multiple joint dislocations, short stature, and craniofacial dysmorphism with or without congenital heart defects(245600)"
"2623","Down syndrome(190685)|Linked, with or without dyserythropoietic anemia(300367)|Linked, with or without neutropenia and/or platelet abnormalities(300835)|Linked(314050)"
"26235","Mitochondrial dna depletion syndrome 13 (encephalomyopathic type)(615471)"
"2624","Leukemia, acute myeloid(601626)|Lymphedema, primary, with myelodysplasia(614038)|Immunodeficiency 21(614172)|Myelodysplastic syndrome(614286)"
"26249","Pseudohypoaldosteronism, type iid(614495)"
"2625","Hypoparathyroidism, sensorineural deafness, and renal disease(146255)"
"26258","Pudlak syndrome 9(614171)"
"2626","Tetralogy of fallot(187500)|Atrial septal defect 2(607941)|Ventricular septal defect 1(614429)|Atrioventricular septal defect 4(614430)|Testicular anomalies with or without congenital heart disease(615542)"
"2627","Tetralogy of fallot(187500)|Conotruncal heart malformations(217095)|Heart defects, congenital, and other congenital anomalies(600001)|Atrioventricular septal defect 5(614474)|Atrial septal defect 9(614475)"
"26275","Coa hydrolase deficiency(250620)"
"26276","Arthrogryposis, renal dysfunction, and cholestasis 1(208085)"
"26277","Dyskeratosis congenita, autosomal dominant 1(127550)|Revesz syndrome(268130)|Dyskeratosis congenita, autosomal dominant 3(613990)"
"26278","Saguenay type(270550)"
"2628","Fanconi renotubular syndrome 1(134600)|Cerebral creatine deficiency syndrome 3(612718)"
"26281","Renal hypodysplasia/aplasia 2(615721)"
"26284","Perrault syndrome 6(617565)"
"2629","Dementia, lewy body(127750)|Onset(168600)|Gaucher disease, type i(230800)|Gaucher disease, type ii(230900)|Gaucher disease, type iii(231000)|Gaucher disease, type iiic(231005)|Gaucher disease, perinatal lethal(608013)"
"2632","Glycogen storage disease iv(232500)|Polyglucosan body neuropathy, adult form(263570)"
"26353","Neuronopathy, distal hereditary motor, type iia(158590)|Tooth disease, axonal, type 2l(608673)"
"2639","Glutaric acidemia i(231670)"
"2642","Mahvash disease(619290)"
"2643","Responsive(128230)|Deficient, b(233910)"
"2645","Onset diabetes of the young, type 2(125851)|Type 2 diabetes mellitus(125853)|Hyperinsulinemic hypoglycemia, familial, 3(602485)|Diabetes mellitus, permanent neonatal, 1(606176)"
"2646","Fasting plasma glucose level quantitative trait locus 5(613463)"
"265","Amelogenesis imperfecta, type ie(301200)"
"26503","Infantile sialic acid storage disease(269920)|Salla disease(604369)"
"26504","Jalili syndrome(217080)"
"26509","Angioedema, hereditary, 7(619366)"
"2651","Blood group, i system(110800)|Cataract 13 with adult i phenotype(116700)"
"26511","Leukemia, acute myeloid(601626)"
"2652","Blue cone monochromacy(303700)|Colorblindness, partial, deutan series(303800)"
"26525","Psoriasis 14, pustular(614204)"
"2653","Glycine encephalopathy(605899)"
"2657","Right atrial isomerism(208530)|Congenital heart defects, multiple types, 6(613854)"
"2658","Telangiectasia, hereditary hemorrhagic, type 5(615506)"
"26580","Lipodystrophy, congenital generalized, type 2(269700)|Spastic paraplegia 17, autosomal dominant(270685)|Encephalopathy, progressive, with or without lipodystrophy(615924)|Neuronopathy, distal hereditary motor, type vc(619112)"
"2660","Muscle hypertrophy(614160)"
"2661","Premature ovarian failure 14(618014)"
"26610","Aniridia 2(617141)"
"2664","Linked 41(300849)"
"2668","Hirschsprung disease, susceptibility to, 3(613711)"
"2670","Alexander disease(203450)"
"267012","Schizophrenia(181500)"
"2671","Myopathy, mitochondrial progressive, with congenital cataract and developmental delay(613076)"
"2672","Neutropenia, nonimmune chronic idiopathic, of adults(607847)|Neutropenia, severe congenital, 2, autosomal dominant(613107)"
"2673","Myasthenic syndrome, congenital, 4c, associated with acetylcholine receptor deficiency(608931)|Myasthenic syndrome, congenital, 12(610542)"
"2677","Dependent clotting factors, combined deficiency of, 1(277450)|Like disorder with multiple coagulation factor deficiency(610842)"
"2678","Glutathionuria(231950)"
"268","Persistent mullerian duct syndrome, types i and ii(261550)"
"2683","Congenital disorder of glycosylation, type iid(607091)"
"26873","Oxoprolinase deficiency(260005)"
"2688","Isolated growth hormone deficiency, type ii(173100)|Isolated growth hormone deficiency, type ia(262400)|Kowarski syndrome(262650)|Isolated growth hormone deficiency, type ib(612781)"
"269","Persistent mullerian duct syndrome, types i and ii(261550)"
"2690","Hypercholesterolemia, familial, 1(143890)|Laron syndrome(262500)|Growth hormone insensitivity, partial(604271)"
"2692","Isolated growth hormone deficiency, type iv(618157)"
"2693","Growth hormone deficiency, isolated partial(615925)"
"2694","Intrinsic factor deficiency(261000)"
"26960","Onset generalized epilepsy(619157)"
"2697","Palmoplantar keratoderma and congenital alopecia 1(104100)|Oculodentodigital dysplasia(164200)|Syndactyly, type iii(186100)|Craniometaphyseal dysplasia, autosomal recessive(218400)|Hypoplastic left heart syndrome 1(241550)|Oculodentodigital dysplasia, autosomal recessive(257850)|Atrioventricular septal defect 3(600309)|Erythrokeratodermia variabilis et progressiva 3(617525)"
"26999","Developmental and epileptic encephalopathy 65(618008)"
"270","Myopathy due to myoadenylate deaminase deficiency(615511)"
"2700","Cataract 14, multiple types(601885)"
"27010","Thiamine metabolism dysfunction syndrome 5 (episodic encephalopathy type)(614458)"
"27019","Ciliary dyskinesia, primary, 1(244400)"
"2702","Atrial standstill 1(108770)|Mb(612474)|Atrial fibrillation, familial, 11(614049)"
"27022","Autoimmune disease, susceptibility to, 1(607836)"
"2703","Cataract 1, multiple types(116200)|Mb(612474)"
"27030","Colorectal cancer(114500)|Endometrial cancer(608089)|Colorectal cancer, hereditary nonpolyposis, type 7(614385)"
"27031","Pancreatic dysplasia 1(208540)|Meckel syndrome, type 7(267010)|Nephronophthisis 3(604387)"
"27032","Benign chronic pemphigus(169600)"
"27034","Coa dehydrogenase deficiency(611283)"
"27040","Immunodeficiency 52(617514)"
"2705","Linked dominant, 1(302800)"
"2706","Vohwinkel syndrome(124500)|Deafness syndrome, autosomal dominant(148210)|Keratoderma, palmoplantar, with deafness(148350)|Pumphrey syndrome(149200)|Deafness, autosomal recessive 1a(220290)|Linked 2(304400)|Deafness, autosomal dominant 3a(601544)|Like, with deafness(602540)"
"27068","Sudden cardiac failure, infantile(617222)|Induced(617223)"
"2707","Erythrokeratodermia variabilis et progressiva 1(133200)|Deafness, autosomal recessive 1a(220290)|Deafness, autosomal dominant 2b(612644)"
"27072","Spinocerebellar ataxia, autosomal recessive 29(619389)"
"27077","Meckel syndrome, type 9(614209)|Joubert syndrome 27(617120)"
"27086","Mental retardation with language impairment and with or without autistic features(613670)"
"27089","Mitochondrial complex iii deficiency, nuclear type 4(615159)"
"271","Spastic paraplegia 63, autosomal recessive(615686)|Pontocerebellar hypoplasia, type 9(615809)"
"2710","Glycerol kinase deficiency(307030)"
"27102","Leukoencephalopathy, motor delay, spasticity, and dysarthria syndrome(618878)"
"27107","Intellectual developmental disorder, autosomal recessive 69(618383)"
"27125","Chops syndrome(616368)"
"27130","Nephronophthisis 2(602088)"
"27148","Ciliary dyskinesia, primary, 46(619436)"
"27151","Anterior segment dysgenesis 8(617319)"
"27152","Rib thoracic dysplasia 20 with polydactyly(617925)|Orofaciodigital syndrome xvii(617926)"
"27161","Kreienkamp syndrome(619149)"
"2717","Fabry disease(301500)"
"27178","Inflammatory bowel disease (infantile ulcerative colitis) 31, autosomal recessive(619398)"
"27183","Cimdag syndrome(619273)"
"27184","Schizophrenia(181500)"
"27185","Schizophrenia 9(604906)"
"2719","Wilms tumor 1(194070)|Behmel syndrome, type 1(312870)"
"272","Erythrocyte amp deaminase deficiency(612874)"
"2720","Gangliosidosis, type i(230500)|Gangliosidosis, type ii(230600)|Gangliosidosis, type iii(230650)|Mucopolysaccharidosis, type ivb(253010)"
"27229","Microcephaly and chorioretinopathy, autosomal recessive, 3(616335)"
"27232","Methyltransferase deficiency(606664)"
"27235","Multiple system atrophy 1, susceptibility to(146500)|Coenzyme q10 deficiency, primary, 1(607426)"
"27241","Biedl syndrome 9(615986)"
"27245","Gibbs syndrome(615829)"
"27247","Multiple mitochondrial dysfunctions syndrome 1(605711)"
"27249","Methylmalonic aciduria and homocystinuria, cbld type(277410)"
"27286","Linked(300643)"
"2729","Glutamylcysteine synthetase deficiency, hemolytic anemia due to(230450)|Myocardial infarction, susceptibility to(608446)"
"2730","Myocardial infarction, susceptibility to(608446)"
"2731","Glycine encephalopathy(605899)"
"27315","Hyperphosphatasia with mental retardation syndrome 3(614207)"
"27316","Linked, syndromic 11(300238)"
"27327","Epilepsy, familial adult myoclonic, 6(618074)"
"27329","Hypobetalipoproteinemia, familial, 2(605019)"
"2733","Lethal congenital contracture syndrome 1(253310)|Congenital arthrogryposis with anterior horn cell disease(611890)"
"27341","Microcephaly 28, primary, autosomal recessive(619453)"
"2735","Polydactyly, preaxial i(174400)|Polydactyly, postaxial, type a8(618123)"
"2736","Holoprosencephaly 9(610829)|Jones syndrome(615849)"
"2737","Hall syndrome(146510)|Polydactyly, postaxial, type a1(174200)|Polydactyly, preaxial iv(174700)|Greig cephalopolysyndactyly syndrome(175700)"
"274","Myopathy, centronuclear, 2(255200)"
"2741","Hyperekplexia 1(149400)"
"27429","Parkinson disease 13, autosomal dominant, susceptibility to(610297)|Methylglutaconic aciduria, type viii(617248)"
"2743","Hyperekplexia 2(614619)"
"2744","Developmental and epileptic encephalopathy 71(618328)|Infantile cataract, skin abnormalities, glutamate excess, and impaired intellectual development(618339)|Global developmental delay, progressive ataxia, and elevated glutamine(618412)"
"27445","Pontocerebellar hypoplasia, type 3(608027)"
"2746","Hyperinsulinemic hypoglycemia, familial, 6(606762)"
"2747","Onset(168600)"
"275","Glycine encephalopathy(605899)"
"2752","Glutamine deficiency, congenital(610015)"
"2760","Gangliosidosis, ab variant(272750)"
"2767","Hypocalciuric hypercalcemia, familial, type ii(145981)|Hypocalcemia, autosomal dominant 2(615361)"
"2771","Ventricular tachycardia, familial(192605)"
"2773","Auriculocondylar syndrome 1(602483)"
"2774","Dystonia 25(615073)"
"2775","Developmental and epileptic encephalopathy 17(615473)|Neurodevelopmental disorder with involuntary movements(617493)"
"2776","Capillary malformations, congenital(163000)|Weber syndrome(185300)"
"2778","Pseudohypoparathyroidism, type ia(103580)|Osseous heteroplasia, progressive(166350)|Albright syndrome(174800)|Independent macronodular adrenal hyperplasia(219080)|Pseudohypoparathyroidism, type ib(603233)|Pseudohypoparathyroidism, type ic(612462)|Pseudopseudohypoparathyroidism(612463)|Pituitary adenoma 3, multiple types(617686)"
"2779","Night blindness, congenital stationary, autosomal dominant 3(610444)|Night blindness, congenital stationary, type 1g(616389)"
"2780","Achromatopsia 4(613856)"
"2782","Leukemia, acute lymphoblastic(613065)|Myelodysplastic syndrome(614286)|Intellectual developmental disorder, autosomal dominant 42(616973)"
"2783","Sick sinus syndrome 4(619464)|Neurodevelopmental disorder with hypotonia and dysmorphic facies(619503)"
"2784","Hypertension, essential(145500)|Night blindness, congenital stationary, type 1h(617024)"
"2796","Hypogonadotropic hypogonadism 7 with or without anosmia(146110)|Hypogonadotropic hypogonadism 12 with or without anosmia(614841)"
"2798","Hypogonadotropic hypogonadism 7 with or without anosmia(146110)"
"2799","Mucopolysaccharidosis, type iiid(252940)"
"28","Blood group, abo system(616093)"
"2805","Aspartate aminotransferase, serum level of, quantitative trait locus 1(614419)"
"2806","Developmental and epileptic encephalopathy 82(618721)"
"2811","Soulier syndrome, type a2, autosomal dominant(153670)|Von willebrand disease(177820)|Soulier syndrome(231200)|Nonarteritic anterior ischemic optic neuropathy, susceptibility to(258660)"
"2812","Soulier syndrome(231200)"
"2815","Soulier syndrome(231200)"
"2819","Hypertriglyceridemia, transient infantile(614480)"
"2820","Type 2 diabetes mellitus(125853)"
"2821","Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency(613470)"
"28234","Hyperbilirubinemia, rotor type(237450)"
"282617","Hepatitis c virus, susceptibility to(609532)"
"282809","Rod dystrophy 20(615973)"
"282996","Cardiomyopathy, dilated, 1dd(613172)"
"283","Amyotrophic lateral sclerosis 9(611895)"
"283120","Wilms tumor 1(194070)"
"283310","Deafness, autosomal recessive 84b(614944)"
"283375","Myopia 24, autosomal dominant(615946)"
"283417","Spermatogenic failure 9(613958)"
"283446","Central hypoventilation syndrome, congenital, 2, and autonomic dysfunction(619482)"
"283459","Combined oxidative phosphorylation deficiency 42(618839)"
"283489","Mental retardation, autosomal dominant 40(616579)"
"283652","Albinism, oculocutaneous, type vi(113750)"
"283677","Oocyte maturation defect 10(619176)"
"283989","Pontocerebellar hypoplasia, type 4(225753)|Pontocerebellar hypoplasia, type 2a(277470)|Pontocerebellar hypoplasia, type 5(610204)"
"284","Angioedema, hereditary, 5(619361)"
"284058","De vries syndrome(610443)"
"284086","Nephronophthisis 9(613824)|Pancreatic dysplasia 2(615415)"
"284098","Glycosylphosphatidylinositol biosynthesis defect 11(616025)"
"284111","Developmental and epileptic encephalopathy 25 with amelogenesis imperfecta(615905)"
"284119","Lipodystrophy, congenital generalized, type 4(613327)"
"284184","Mitochondrial complex i deficiency, nuclear type 34(618776)"
"284217","Boltshauser syndrome(615960)"
"284252","Nipple syndrome(181270)"
"284361","Neurodevelopmental disorder with dysmorphic facies and variable seizures(619264)"
"284382","Spermatogenic failure 53(619258)"
"284403","Microcephaly 2, primary, autosomal recessive, with or without cortical malformations(604317)"
"284439","Metabolic crises, recurrent, with variable encephalomyopathic features and neurologic regression(618416)"
"284654","Palmoplantar hyperkeratosis with squamous cell carcinoma of skin and 46,xx sex reversal(610644)"
"285","Lymphatic malformation 10(619369)"
"285025","Hypogonadotropic hypogonadism 7 with or without anosmia(146110)"
"28514","Neurodevelopmental disorder with nonspecific brain abnormalities and with or without seizures(618709)"
"285175","Hypotonia, infantile, with psychomotor retardation and characteristic facies 2(616801)"
"285195","Autism, susceptibility to, 16(613410)"
"285203","Oliver syndrome 4(615297)"
"285282","Pancreatic cancer, susceptibility to, 5(618680)"
"285362","Multiple sulfatase deficiency(272200)"
"285440","Bietti crystalline corneoretinal dystrophy(210370)"
"285489","Myasthenic syndrome, congenital, 10(254300)|Fetal akinesia deformation sequence 3(618389)"
"285498","Recombination rate quantitative trait locus 1(612042)"
"285590","Ter haar syndrome(249420)"
"285600","Polydactyly, postaxial, type a10(618498)"
